year,ami_group,region,tenure,total_hh,total_hh_se
2010,50-80,2,Rent,11048,1387.0449181506722
2010,50-80,3,Own,151594,4274.453806429199
2010,50-80,3,Rent,125228,4560.534668483051
2010,50-80,4,Own,8029,771.4634971624826
2010,50-80,4,Rent,6172,920.7068304843139
2010,80-100,1,Own,7135,955.4288619425499
2010,80-100,1,Rent,1604,502.0862310414575
2010,80-100,2,Own,11465,1132.9771397038307
2010,80-100,2,Rent,5092,958.1375816483816
2010,80-100,3,Own,107687,3587.167503569398
2010,80-100,3,Rent,57001,3049.7946228355936
2010,80-100,4,Own,6474,940.9273307527327
2010,80-100,4,Rent,2789,561.6098120641277
2010,100+,1,Own,41419,2385.537299688311
2010,100+,1,Rent,8507,1279.8585519673647
2010,100+,2,Own,68504,3027.993784320535
2010,100+,2,Rent,14286,1577.6981529547238
2010,100+,3,Own,622179,8436.737866416684
2010,100+,3,Rent,128658,4537.950138381348
2010,100+,4,Own,37916,1942.2052868521346
2010,100+,4,Rent,6444,803.6495425891748
2010,NA,1,Rent,87,87.00000000000266
2010,NA,2,Own,118,84.02371081612445
2010,NA,2,Rent,101,101.0000000000004
2010,NA,3,Own,879,281.9528013607668
2010,NA,3,Rent,216,155.59546140766562
2010,NA,4,Own,106,68.48346312453178
2011,0-30,1,Own,6019,906.891593422696
2011,0-30,1,Rent,6798,1238.6443071925373
2011,0-30,2,Own,8146,1138.7186429323597
2011,0-30,2,Rent,9576,1316.8918024528678
2011,0-30,3,Own,63266,2887.583657644171
2011,0-30,3,Rent,147425,5103.81877609026
2011,0-30,4,Own,4683,651.5449369082924
2011,0-30,4,Rent,5616,783.1831319618162
2011,30-50,1,Own,5846,890.984896823709
2011,30-50,1,Rent,5218,959.2031057680123
2011,30-50,2,Own,10996,1191.7537937719678
2011,30-50,2,Rent,8665,1324.8727690325104
2011,30-50,3,Own,75891,3335.3582056124133
2011,30-50,3,Rent,107590,4475.390614442985
2011,30-50,4,Own,5504,726.2895597603085
2011,30-50,4,Rent,5807,895.2844045465245
2011,50-80,1,Own,11474,1341.6470931167175
2011,50-80,1,Rent,8820,1375.820791271214
2011,50-80,2,Own,21522,1862.6059679141918
2011,50-80,2,Rent,9745,1341.3185862394673
2011,50-80,3,Own,147629,4701.881156908446
2011,50-80,3,Rent,131360,5243.12557107658
2011,50-80,4,Own,10942,1009.2358160219798
2011,50-80,4,Rent,4779,749.707280044076
2011,80-100,1,Own,7827,1108.8295106366893
2011,80-100,1,Rent,3579,820.2747549034123
2011,80-100,2,Own,11762,1521.5007411220408
2011,80-100,2,Rent,4793,1020.4664676729521
2011,80-100,3,Own,105100,3960.1519030550585
2011,80-100,3,Rent,57556,3163.1619451161014
2011,80-100,4,Own,5871,667.872436104051
2011,80-100,4,Rent,1961,384.83031347034756
2011,100+,1,Own,41893,2720.044857079687
2011,100+,1,Rent,7488,1407.5531094151895
2011,100+,2,Own,65588,3224.9638539823195
2011,100+,2,Rent,18106,1959.9933198632646
2011,100+,3,Own,630126,9737.984380248963
2011,100+,3,Rent,146270,5644.542886903853
2011,100+,4,Own,35113,1749.0495947436352
2011,100+,4,Rent,7904,1056.4784862584734
2011,NA,2,Own,231.99999999999997,200.89790584973284
2011,NA,2,Rent,59,59.00000000000042
2011,NA,3,Own,335,204.37425364889484
2011,NA,3,Rent,367,188.0073619147413
2011,NA,4,Own,95,63.14260242677069
2011,NA,4,Rent,56,55.99999999999732
2012,0-30,1,Own,5442,946.8637547055811
2012,0-30,1,Rent,8709,1198.356927126666
2012,0-30,2,Own,7076,951.1126368497441
2012,0-30,2,Rent,7988,1190.1135983239344
