year,tenure,ami_group,region,hh_allocated,total_households,pct_hh_ten,pct_hh_ami_ten
2042,Renter,50 to 80,1,10181.92136630415,178341,0.2608934972117802,0.21883424591014886
2042,Renter,80 to 100,1,4944.1023024383,178341,0.2608934972117802,0.10626077929036688
2042,Renter,Greater than 120,1,9244.287089439274,178341,0.2608934972117802,0.19868220558932367
2042,Renter,Less than 30,1,10134.007358803368,178341,0.2608934972117802,0.21780445739354665
2042,Owner,100 to 120,2,9905.198524450974,163756,0.7338012409724342,0.0824304215725658
2042,Owner,30 to 50,2,10631.992211226876,163756,0.7338012409724342,0.08847875163372806
2042,Owner,50 to 80,2,18807.911276075884,163756,0.7338012409724342,0.15651822137227497
2042,Owner,80 to 100,2,13103.362699000867,163756,0.7338012409724342,0.10904533701476153
2042,Owner,Greater than 120,2,55705.4386644496,163756,0.7338012409724342,0.46357705821446954
2042,Owner,Less than 30,2,12010.452641477708,163756,0.7338012409724342,0.09995021019219998
2042,Renter,100 to 120,2,3840.312572267235,163756,0.2661987590275659,0.08809744761488851
2042,Renter,30 to 50,2,5934.348638936808,163756,0.2661987590275659,0.13613500425007602
2042,Renter,50 to 80,2,9665.880116831599,163756,0.2661987590275659,0.22173699437742234
2042,Renter,80 to 100,2,5327.894037810425,163756,0.2661987590275659,0.12222282875702821
2042,Renter,Greater than 120,2,10074.82904348801,163756,0.2661987590275659,0.23111835486965132
2042,Renter,Less than 30,2,8748.379573984006,163756,0.2661987590275659,0.20068937013093355
2042,Owner,100 to 120,3,169483.67052077866,2464375,0.6466573914109067,0.1063522838533256
2042,Owner,30 to 50,3,129496.21087217654,2464375,0.6466573914109067,0.08125985078261187
2042,Owner,50 to 80,3,248096.38188436144,2464375,0.6466573914109067,0.15568235422369972
2042,Owner,80 to 100,3,171171.41205474696,2464375,0.6466573914109067,0.10741135441829568
2042,Owner,Greater than 120,3,755339.8342683531,2464375,0.6466573914109067,0.47398145327506996
2042,Owner,Less than 30,3,120018.79935783648,2464375,0.6466573914109067,0.07531270344699705
2042,Renter,100 to 120,3,78732.45252580522,2464375,0.3533426085890933,0.0904171835021002
2042,Renter,30 to 50,3,133983.05428643478,2464375,0.3533426085890933,0.15386756054141512
2042,Renter,50 to 80,3,202080.46209566866,2464375,0.3533426085890933,0.23207134589773673
2042,Renter,80 to 100,3,100389.77270050769,2464375,0.3533426085890933,0.11528867968416054
2042,Renter,Greater than 120,3,171367.86874124064,2464375,0.3533426085890933,0.19680067795756892
2042,Renter,Less than 30,3,184215.0806920898,2464375,0.3533426085890933,0.2115545524170185
2042,Owner,100 to 120,4,6523.195012790037,91172,0.7146609645171444,0.1001149233253849
2042,Owner,30 to 50,4,6750.475991996729,91172,0.7146609645171444,0.1036031246994021
2042,Owner,50 to 80,4,9626.949342769376,91172,0.7146609645171444,0.14774988229218874
2042,Owner,80 to 100,4,6084.466852637786,91172,0.7146609645171444,0.09338153025217316
2042,Owner,Greater than 120,4,29201.8123138932,91172,0.7146609645171444,0.4481756554932843
2042,Owner,Less than 30,4,6970.16994286996,91172,0.7146609645171444,0.10697488393756675
2042,Renter,100 to 120,4,1696.195638723963,91172,0.28533903548285555,0.06520085209981741
2042,Renter,30 to 50,4,4477.996070726916,91172,0.28533903548285555,0.17213177115033476
2042,Renter,50 to 80,4,4964.88536725678,91172,0.28533903548285555,0.19084753499695678
2042,Renter,80 to 100,4,2182.095322862508,91172,0.28533903548285555,0.08387857577601948
2042,Renter,Greater than 120,4,5147.963659651141,91172,0.28533903548285555,0.19788496652465004
2042,Renter,Less than 30,4,7545.794483821597,91172,0.28533903548285555,0.29005629945222156
2043,Owner,100 to 120,0,200872.37188688302,2920799,0.6593772492938678,0.1043000647415553
2043,Owner,30 to 50,0,160785.3366114152,2920799,0.6593772492938678,0.08348545327829847
2043,Owner,50 to 80,0,299379.272381471,2920799,0.6593772492938678,0.15544834363409116
2043,Owner,80 to 100,0,205354.52530725746,2920799,0.6593772492938678,0.10662735787567477
2043,Owner,Greater than 120,0,906238.0825028347,2920799,0.6593772492938678,0.47055097616677666
2043,Owner,Less than 30,0,153278.8216704183,2920799,0.6593772492938678,0.07958780430360364
2043,Renter,100 to 120,0,89267.8377513295,2920799,0.3406227507061322,0.08972628616746296
2043,Renter,30 to 50,0,153371.84287064744,2920799,0.3406227507061322,0.1541595070531203
2043,Renter,50 to 80,0,228739.75429783796,2920799,0.3406227507061322,0.2299144817327818
2043,Renter,80 to 100,0,113762.94925141509,2920799,0.3406227507061322,0.11434719599932298
2043,Renter,Greater than 120,0,197414.98297130043,2920799,0.3406227507061322,0.19842883732852507
2043,Renter,Less than 30,0,212333.2224971897,2920799,0.3406227507061322,0.21342369171878686
2043,Owner,100 to 120,1,13465.157527319747,179658,0.7391065027882198,0.10140464629688188
2043,Owner,30 to 50,1,12748.595942938147,179658,0.7391065027882198,0.09600829843635945
2043,Owner,50 to 80,1,20637.836957400195,179658,0.7391065027882198,0.15542132000697448
2043,Owner,80 to 100,1,13469.866584829375,179658,0.7391065027882198,0.10144010970012737
2043,Owner,Greater than 120,1,59269.76750200406,179658,0.7391065027882198,0.4463542143821832
2043,Owner,Less than 30,1,13195.171563434458,179658,0.7391065027882198,0.09937141117747365
2043,Renter,100 to 120,1,4308.395199849722,179658,0.2608934972117802,0.09191909043719965
2043,Renter,30 to 50,1,7804.085557829622,179658,0.2608934972117802,0.16649922137941428
2043,Renter,50 to 80,1,10257.11209888624,179658,0.2608934972117802,0.21883424591014886
2043,Renter,80 to 100,1,4980.613159349001,179658,0.2608934972117802,0.10626077929036688
2043,Renter,Greater than 120,1,9312.553646746857,179658,0.2608934972117802,0.19868220558932367
2043,Renter,Less than 30,1,10208.84425941256,179658,0.2608934972117802,0.21780445739354665
2043,Owner,100 to 120,2,9954.677336787629,164574,0.7338012409724342,0.0824304215725658
2043,Owner,30 to 50,2,10685.101530145168,164574,0.7338012409724342,0.08847875163372806
2043,Owner,50 to 80,2,18901.861246909502,164574,0.7338012409724342,0.15651822137227497
2043,Owner,80 to 100,2,13168.817098765046,164574,0.7338012409724342,0.10904533701476153
