year,ami_group,region,tenure,total_hh,total_hh_se
2010,100+,3,2,137589,4720.541000112385
2010,100+,4,1,36881,1890.1085674091778
2010,100+,4,2,6602,831.4772185968252
2010,NA,1,2,87,87.00000000000101
2010,NA,2,1,118,84.02373032015039
2010,NA,2,2,101,100.99999999999667
2010,NA,3,1,879,281.9533883015698
2010,NA,3,2,216,155.59549584987965
2010,NA,4,1,106,68.48348594576703
2011,0-30,1,1,6116,931.7618624393
2011,0-30,1,2,6889,1271.9276303145903
2011,0-30,2,1,8725,1227.7754154620245
2011,0-30,2,2,9705,1342.9599731296173
2011,0-30,3,1,60167,2846.1376210092276
2011,0-30,3,2,136928,4981.420270009378
2011,0-30,4,1,4571,634.473764169201
2011,0-30,4,2,5355,752.2172646458408
2011,30-50,1,1,4849,780.1413193975603
2011,30-50,1,2,5058,910.4845102030653
2011,30-50,2,1,10475,1227.6726321432068
2011,30-50,2,2,8773,1318.9318945689977
2011,30-50,3,1,80003,3426.153565960409
2011,30-50,3,2,108009,4530.355526648296
2011,30-50,4,1,5898,775.4963154619983
2011,30-50,4,2,5295,824.5824466823449
2011,50-80,1,1,11021,1290.2443934105634
2011,50-80,1,2,7640,1275.1896546468456
2011,50-80,2,1,22068,2002.129698414373
2011,50-80,2,2,10951,1534.5718397758967
2011,50-80,3,1,152225,4784.860467214915
2011,50-80,3,2,129944,5049.860136849896
2011,50-80,4,1,10674,952.043151829746
2011,50-80,4,2,4708,748.6774276284815
2011,80-100,1,1,7567,1154.532447351394
2011,80-100,1,2,4312,921.5970150432388
2011,80-100,2,1,11433,1254.059507827907
2011,80-100,2,2,4477,938.3759501376625
2011,80-100,3,1,104715,4020.5002154273175
2011,80-100,3,2,61826,3455.890877902848
2011,80-100,4,1,6521,807.3111326621669
2011,80-100,4,2,3119,634.5484119654843
2011,100+,1,1,43506,2751.4977940825906
2011,100+,1,2,8004,1441.9191810343968
2011,100+,2,1,65313,3210.650194696809
2011,100+,2,2,16979,1842.0863426813125
2011,100+,3,1,624902,9664.491440836555
2011,100+,3,2,153494,5717.425524470548
2011,100+,4,1,34449,1707.1799060547626
2011,100+,4,2,7590,1016.0526397561063
2011,NA,2,1,231.99999999999997,200.89792185075353
2011,NA,2,2,59,59.000000000000384
2011,NA,3,1,335,204.37433595663714
2011,NA,3,2,367,188.00748807041438
2011,NA,4,1,95,63.1426214763124
2011,NA,4,2,56,55.999999999996255
2012,0-30,1,1,5841,965.3959764149066
2012,0-30,1,2,8771,1205.9796342338523
2012,0-30,2,1,6408,930.8530366783663
2012,0-30,2,2,8230,1238.6537457157528
2012,0-30,3,1,60867,2936.551555490475
2012,0-30,3,2,137347,4945.010908324259
2012,0-30,4,1,4165,643.6222213493874
2012,0-30,4,2,5502,913.1184741011424
2012,30-50,1,1,9625,1300.6352880830964
2012,30-50,1,2,7155,1082.107264474665
2012,30-50,2,1,6504,853.9934542933959
2012,30-50,2,2,7535,1231.5991273809066
2012,30-50,3,1,78981,3163.4532858978287
2012,30-50,3,2,104718,4360.062740249957
2012,30-50,4,1,5411,681.2778472547949
2012,30-50,4,2,4681,876.4221281307449
2012,50-80,1,1,17044,1678.8710258237254
2012,50-80,1,2,8810,1422.0828596208678
2012,50-80,2,1,15307,1696.1082964597203
2012,50-80,2,2,8667,1409.8727727121181
2012,50-80,3,1,158708,4578.818275717354
2012,50-80,3,2,141655,5045.01509682257
2012,50-80,4,1,9738,1027.7304660604761
2012,50-80,4,2,4769,674.6877958601611
2012,80-100,1,1,9195,1071.1265872918898
2012,80-100,1,2,4333,927.9028735535343
2012,80-100,2,1,7992,977.5178745389022
2012,80-100,2,2,3411,741.195264150541
2012,80-100,3,1,110733,3826.170679356695
2012,80-100,3,2,67310,3450.3893903461408
2012,80-100,4,1,4947,650.109491316935
2012,80-100,4,2,3086,573.7986850763506
2012,100+,1,1,50222,2671.311789127776
2012,100+,1,2,10275,1538.4470716094208
